 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,272.386,0.000,134.920,33.948,63.209,21.967,15.788,173.968,0.857,22.465,0.000,270,66,163.413,15.575,1.391,0.719,0.965
2,137.452,0.000,167.766,32.075,43.256,14.777,11.843,7.147,0.923,15.068,0.000,351,75,19.537,11.452,1.248,0.801,0.970
3,201.876,0.265,233.271,35.724,54.362,19.117,13.446,88.940,0.858,19.267,0.104,504,58,108.004,13.154,1.422,0.703,0.958
4,236.292,0.000,279.353,34.970,57.712,17.728,16.971,140.023,0.892,18.715,0.000,590,67,158.459,16.949,1.045,0.957,0.967
5,410.887,0.000,363.526,37.364,78.803,25.598,20.438,142.538,0.831,27.581,0.000,768,64,138.366,21.000,1.252,0.798,0.951
6,139.760,0.766,412.295,32.073,44.931,16.561,10.745,1.187,0.870,16.719,0.300,882,72,9.462,10.536,1.541,0.649,0.964
7,230.836,0.000,574.718,33.013,60.349,23.509,12.502,178.079,0.796,23.128,0.000,1229,67,172.030,12.369,1.880,0.532,0.959
8,288.754,0.000,608.245,35.527,64.616,20.813,17.664,151.661,0.869,22.264,0.000,1306,64,143.366,18.324,1.178,0.849,0.963
9,250.352,0.000,122.879,36.482,58.739,18.853,16.907,106.185,0.912,19.414,0.000,260,60,109.290,16.869,1.115,0.897,0.968
10,157.178,0.000,259.918,32.622,48.059,17.446,11.471,3.322,0.855,17.700,0.000,548,72,10.437,11.452,1.521,0.658,0.964
11,215.516,0.745,343.703,34.316,55.232,18.637,14.724,173.436,0.888,19.004,0.292,730,67,164.624,14.659,1.266,0.790,0.966
12,473.213,3.392,544.964,37.763,88.188,30.375,19.836,159.083,0.765,31.271,1.330,1157,65,148.173,21.240,1.531,0.653,0.944
13,220.133,0.243,504.616,34.056,57.064,20.443,13.710,170.509,0.850,20.670,0.095,1078,68,167.196,13.743,1.491,0.671,0.969
14,308.270,5.728,526.058,36.321,65.310,20.952,18.733,172.851,0.908,21.623,2.246,1128,65,143.616,17.866,1.118,0.894,0.978
15,192.643,0.000,626.488,34.043,51.993,17.975,13.645,5.988,0.896,18.122,0.000,1350,81,20.726,13.285,1.317,0.759,0.972
16,235.033,0.000,183.498,36.788,57.555,18.703,16.000,151.441,0.892,19.570,0.000,383,69,147.426,16.491,1.169,0.855,0.963
17,303.654,0.176,215.234,39.181,66.402,22.311,17.329,82.166,0.865,22.822,0.069,462,62,100.408,17.866,1.288,0.777,0.957
18,395.778,0.000,654.902,37.495,78.915,28.075,17.949,24.110,0.799,29.603,0.000,1403,92,21.801,19.615,1.564,0.639,0.962
19,161.585,0.000,303.642,36.610,47.143,16.116,12.766,37.816,0.914,16.775,0.000,648,91,34.992,13.281,1.262,0.792,0.969
