 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,56.869,255,803.681,1074.286,36.241,15.977,4.532,1.779,0.544,15.683,100,1739,2349,6.710,5.039,3.525,0.284,0.881
2,45.747,255,420.131,1074.379,29.180,11.428,5.097,178.800,0.675,12.402,100,904,2349,4.236,5.039,2.242,0.446,0.936
3,47.426,255,112.247,1073.788,28.421,11.443,5.277,178.059,0.738,11.535,100,233,2345,173.157,5.039,2.169,0.461,0.946
4,48.266,255,91.593,1073.973,29.874,12.164,5.052,1.191,0.680,11.742,100,188,2349,20.556,5.497,2.408,0.415,0.883
5,53.722,255,717.659,1073.716,28.310,10.806,6.330,175.341,0.842,11.080,100,1556,2338,150.255,5.955,1.707,0.586,0.964
6,49.735,255,346.050,1073.724,28.153,9.878,6.411,169.159,0.789,11.080,100,746,2337,150.255,6.413,1.541,0.649,0.940
7,46.167,255,846.496,1073.222,25.515,8.388,7.008,21.884,0.891,9.276,100,1838,2348,32.905,7.330,1.197,0.836,0.936
8,48.266,255,258.431,1073.040,26.700,10.115,6.076,147.004,0.851,11.089,100,555,2335,141.710,6.521,1.665,0.601,0.947
9,81.212,255,434.757,1071.657,34.140,11.971,8.638,155.585,0.876,12.965,100,938,2330,147.995,8.704,1.386,0.722,0.957
10,86.039,255,288.249,1070.102,35.704,13.630,8.037,4.742,0.848,13.910,100,615,2342,17.241,7.788,1.696,0.590,0.961
11,114.159,255,638.624,1071.551,41.155,13.537,10.738,167.430,0.847,14.377,100,1381,2332,149.349,10.994,1.261,0.793,0.937
12,99.469,255,247.838,1071.504,37.111,12.204,10.378,32.616,0.908,13.126,100,529,2349,29.249,10.792,1.176,0.850,0.953
13,57.919,255,327.347,1069.450,27.949,8.991,8.202,14.567,0.932,9.444,100,705,2332,165.964,8.422,1.096,0.912,0.932
14,36.094,255,480.959,1066.905,22.387,8.486,5.416,173.190,0.905,8.692,100,1041,2326,161.565,5.497,1.567,0.638,0.937
15,112.900,255,705.503,1070.795,42.608,14.710,9.772,130.056,0.781,15.602,100,1529,2325,139.764,11.230,1.505,0.664,0.917
16,34.206,255,414.360,1067.373,22.387,8.116,5.366,74.805,0.858,8.607,100,899,2338,64.799,5.497,1.512,0.661,0.926
17,125.281,255,404.538,1068.679,42.183,14.500,11.001,173.473,0.885,14.922,100,867,2336,17.879,11.389,1.318,0.759,0.947
18,127.379,255,132.538,1069.154,42.451,13.376,12.125,159.666,0.888,14.377,100,277,2326,149.349,12.333,1.103,0.906,0.948
19,59.178,255,617.255,1066.577,28.375,9.565,7.877,39.075,0.924,10.171,100,1338,2334,35.838,8.400,1.214,0.823,0.943
20,111.221,255,224.330,1067.753,43.747,16.936,8.361,24.818,0.730,17.220,100,474,2341,28.610,8.628,2.026,0.494,0.922
21,109.752,255,163.502,1065.977,38.629,12.250,11.408,116.979,0.924,12.670,100,355,2341,77.471,11.636,1.074,0.931,0.950
22,113.319,255,587.089,1064.212,40.841,13.165,10.960,96.502,0.854,13.932,100,1279,2339,80.538,11.452,1.201,0.833,0.933
23,42.600,255,235.362,1060.797,25.358,8.945,6.064,31.300,0.833,9.631,100,503,2318,25.346,6.478,1.475,0.678,0.921
24,120.664,255,643.661,1061.789,41.109,13.777,11.151,156.270,0.897,13.985,100,1392,2310,148.392,11.370,1.235,0.809,0.943
25,54.561,255,565.630,1060.774,32.262,11.529,6.026,126.820,0.659,12.094,100,1228,2304,127.304,7.374,1.913,0.523,0.833
26,122.343,255,433.242,1061.339,40.128,12.907,12.069,175.655,0.955,13.473,100,938,2305,125.311,11.452,1.069,0.935,0.972
27,120.034,255,358.529,1060.067,40.998,13.925,10.975,155.355,0.897,14.230,100,770,2306,146.821,11.268,1.269,0.788,0.949
28,159.277,255,107.908,1060.966,50.873,18.568,10.922,26.243,0.773,18.692,100,220,2327,36.027,12.087,1.700,0.588,0.924
29,101.568,255,512.010,1058.086,38.407,13.914,9.294,160.971,0.865,14.208,100,1103,2304,159.228,9.629,1.497,0.668,0.949
30,103.037,255,404.638,1057.503,41.267,15.741,8.334,164.692,0.760,16.235,100,865,2303,163.610,9.070,1.889,0.529,0.932
31,114.369,255,459.009,1058.365,41.378,13.018,11.186,29.052,0.839,14.208,100,987,2312,20.772,11.661,1.164,0.859,0.923
32,122.553,255,542.888,1055.572,40.998,13.974,11.166,143.146,0.916,14.384,100,1175,2292,127.235,11.661,1.251,0.799,0.954
33,81.212,255,240.097,1052.629,34.205,12.243,8.446,12.575,0.872,12.777,100,510,2301,14.534,8.837,1.450,0.690,0.937
34,116.257,255,345.055,1052.617,40.350,13.306,11.124,3.014,0.897,13.781,100,739,2292,158.552,11.452,1.196,0.836,0.957
35,51.413,255,320.439,1051.380,27.570,10.666,6.137,127.598,0.850,10.927,100,693,2285,123.024,6.478,1.738,0.575,0.937
36,51.413,255,461.726,1049.905,27.995,9.884,6.623,170.554,0.824,10.140,100,997,2291,161.565,6.826,1.492,0.670,0.919
37,189.915,255,787.057,1054.277,57.509,21.932,11.025,124.043,0.722,21.763,100,1700,2287,139.268,11.308,1.989,0.503,0.917
